PassengerId,Survived,Pclass,Age,SibSp,Parch,Fare,Sex_male,Embarked_Q,Embarked_S
1,0,3,22.0,1,0,7.25,True,False,True
2,1,1,38.0,1,0,71.2833,False,False,False
3,1,3,26.0,0,0,7.925,False,False,True
4,1,1,35.0,1,0,53.1,False,False,True
5,0,3,35.0,0,0,8.05,True,False,True
6,0,3,28.0,0,0,8.4583,True,True,False
7,0,1,54.0,0,0,51.8625,True,False,True
8,0,3,2.0,3,1,21.075,True,False,True
9,1,3,27.0,0,2,11.1333,False,False,True
10,1,2,14.0,1,0,30.0708,False,False,False
11,1,3,4.0,1,1,16.7,False,False,True
12,1,1,58.0,0,0,26.55,False,False,True
13,0,3,20.0,0,0,8.05,True,False,True
14,0,3,39.0,1,5,31.275,True,False,True
15,0,3,14.0,0,0,7.8542,False,False,True
16,1,2,55.0,0,0,16.0,False,False,True
17,0,3,2.0,4,1,29.125,True,True,False
18,1,2,28.0,0,0,13.0,True,False,True
19,0,3,31.0,1,0,18.0,False,False,True
20,1,3,28.0,0,0,7.225,False,False,False
21,0,2,35.0,0,0,26.0,True,False,True
22,1,2,34.0,0,0,13.0,True,False,True
23,1,3,15.0,0,0,8.0292,False,True,False
24,1,1,28.0,0,0,35.5,True,False,True
25,0,3,8.0,3,1,21.075,False,False,True
26,1,3,38.0,1,5,31.3875,False,False,True
27,0,3,28.0,0,0,7.225,True,False,False
28,0,1,19.0,3,2,263.0,True,False,True
29,1,3,28.0,0,0,7.8792,False,True,False
30,0,3,28.0,0,0,7.8958,True,False,True
31,0,1,40.0,0,0,27.7208,True,False,False
32,1,1,28.0,1,0,146.5208,False,False,False
33,1,3,28.0,0,0,7.75,False,True,False
34,0,2,66.0,0,0,10.5,True,False,True
35,0,1,28.0,1,0,82.1708,True,False,False
36,0,1,42.0,1,0,52.0,True,False,True
37,1,3,28.0,0,0,7.2292,True,False,False
38,0,3,21.0,0,0,8.05,True,False,True
39,0,3,18.0,2,0,18.0,False,False,True
40,1,3,14.0,1,0,11.2417,False,False,False
41,0,3,40.0,1,0,9.475,False,False,True
42,0,2,27.0,1,0,21.0,False,False,True
43,0,3,28.0,0,0,7.8958,True,False,False
44,1,2,3.0,1,2,41.5792,False,False,False
45,1,3,19.0,0,0,7.8792,False,True,False
46,0,3,28.0,0,0,8.05,True,False,True
47,0,3,28.0,1,0,15.5,True,True,False
48,1,3,28.0,0,0,7.75,False,True,False
49,0,3,28.0,2,0,21.6792,True,False,False
50,0,3,18.0,1,0,17.8,False,False,True
51,0,3,7.0,4,1,39.6875,True,False,True
52,0,3,21.0,0,0,7.8,True,False,True
53,1,1,49.0,1,0,76.7292,False,False,False
54,1,2,29.0,1,0,26.0,False,False,True
55,0,1,65.0,0,1,61.9792,True,False,False
56,1,1,28.0,0,0,35.5,True,False,True
57,1,2,21.0,0,0,10.5,False,False,True
58,0,3,28.5,0,0,7.2292,True,False,False
59,1,2,5.0,1,2,27.75,False,False,True
60,0,3,11.0,5,2,46.9,True,False,True
61,0,3,22.0,0,0,7.2292,True,False,False
62,1,1,38.0,0,0,80.0,False,False,True
63,0,1,45.0,1,0,83.475,True,False,True
64,0,3,4.0,3,2,27.9,True,False,True
65,0,1,28.0,0,0,27.7208,True,False,False
66,1,3,28.0,1,1,15.2458,True,False,False
67,1,2,29.0,0,0,10.5,False,False,True
68,0,3,19.0,0,0,8.1583,True,False,True
69,1,3,17.0,4,2,7.925,False,False,True
70,0,3,26.0,2,0,8.6625,True,False,True
71,0,2,32.0,0,0,10.5,True,False,True
72,0,3,16.0,5,2,46.9,False,False,True
73,0,2,21.0,0,0,73.5,True,False,True
74,0,3,26.0,1,0,14.4542,True,False,False
75,1,3,32.0,0,0,56.4958,True,False,True
76,0,3,25.0,0,0,7.65,True,False,True
77,0,3,28.0,0,0,7.8958,True,False,True
78,0,3,28.0,0,0,8.05,True,False,True
79,1,2,0.83,0,2,29.0,True,False,True
80,1,3,30.0,0,0,12.475,False,False,True
81,0,3,22.0,0,0,9.0,True,False,True
82,1,3,29.0,0,0,9.5,True,False,True
83,1,3,28.0,0,0,7.7875,False,True,False
84,0,1,28.0,0,0,47.1,True,False,True
85,1,2,17.0,0,0,10.5,False,False,True
86,1,3,33.0,3,0,15.85,False,False,True
87,0,3,16.0,1,3,34.375,True,False,True
88,0,3,28.0,0,0,8.05,True,False,True
89,1,1,23.0,3,2,263.0,False,False,True
90,0,3,24.0,0,0,8.05,True,False,True
91,0,3,29.0,0,0,8.05,True,False,True
92,0,3,20.0,0,0,7.8542,True,False,True
93,0,1,46.0,1,0,61.175,True,False,True
94,0,3,26.0,1,2,20.575,True,False,True
95,0,3,59.0,0,0,7.25,True,False,True
96,0,3,28.0,0,0,8.05,True,False,True
97,0,1,71.0,0,0,34.6542,True,False,False
98,1,1,23.0,0,1,63.3583,True,False,False
99,1,2,34.0,0,1,23.0,False,False,True
100,0,2,34.0,1,0,26.0,True,False,True
101,0,3,28.0,0,0,7.8958,False,False,True
102,0,3,28.0,0,0,7.8958,True,False,True
103,0,1,21.0,0,1,77.2875,True,False,True
104,0,3,33.0,0,0,8.6542,True,False,True
105,0,3,37.0,2,0,7.925,True,False,True
106,0,3,28.0,0,0,7.8958,True,False,True
107,1,3,21.0,0,0,7.65,False,False,True
108,1,3,28.0,0,0,7.775,True,False,True
109,0,3,38.0,0,0,7.8958,True,False,True
110,1,3,28.0,1,0,24.15,False,True,False
111,0,1,47.0,0,0,52.0,True,False,True
112,0,3,14.5,1,0,14.4542,False,False,False
113,0,3,22.0,0,0,8.05,True,False,True
114,0,3,20.0,1,0,9.825,False,False,True
115,0,3,17.0,0,0,14.4583,False,False,False
116,0,3,21.0,0,0,7.925,True,False,True
117,0,3,70.5,0,0,7.75,True,True,False
118,0,2,29.0,1,0,21.0,True,False,True
119,0,1,24.0,0,1,247.5208,True,False,False
120,0,3,2.0,4,2,31.275,False,False,True
121,0,2,21.0,2,0,73.5,True,False,True
122,0,3,28.0,0,0,8.05,True,False,True
123,0,2,32.5,1,0,30.0708,True,False,False
124,1,2,32.5,0,0,13.0,False,False,True
125,0,1,54.0,0,1,77.2875,True,False,True
126,1,3,12.0,1,0,11.2417,True,False,False
127,0,3,28.0,0,0,7.75,True,True,False
128,1,3,24.0,0,0,7.1417,True,False,True
129,1,3,28.0,1,1,22.3583,False,False,False
130,0,3,45.0,0,0,6.975,True,False,True
131,0,3,33.0,0,0,7.8958,True,False,False
132,0,3,20.0,0,0,7.05,True,False,True
133,0,3,47.0,1,0,14.5,False,False,True
134,1,2,29.0,1,0,26.0,False,False,True
135,0,2,25.0,0,0,13.0,True,False,True
136,0,2,23.0,0,0,15.0458,True,False,False
137,1,1,19.0,0,2,26.2833,False,False,True
138,0,1,37.0,1,0,53.1,True,False,True
139,0,3,16.0,0,0,9.2167,True,False,True
140,0,1,24.0,0,0,79.2,True,False,False
141,0,3,28.0,0,2,15.2458,False,False,False
142,1,3,22.0,0,0,7.75,False,False,True
143,1,3,24.0,1,0,15.85,False,False,True
144,0,3,19.0,0,0,6.75,True,True,False
145,0,2,18.0,0,0,11.5,True,False,True
146,0,2,19.0,1,1,36.75,True,False,True
147,1,3,27.0,0,0,7.7958,True,False,True
148,0,3,9.0,2,2,34.375,False,False,True
149,0,2,36.5,0,2,26.0,True,False,True
150,0,2,42.0,0,0,13.0,True,False,True
151,0,2,51.0,0,0,12.525,True,False,True
152,1,1,22.0,1,0,66.6,False,False,True
153,0,3,55.5,0,0,8.05,True,False,True
154,0,3,40.5,0,2,14.5,True,False,True
155,0,3,28.0,0,0,7.3125,True,False,True
156,0,1,51.0,0,1,61.3792,True,False,False
157,1,3,16.0,0,0,7.7333,False,True,False
158,0,3,30.0,0,0,8.05,True,False,True
159,0,3,28.0,0,0,8.6625,True,False,True
160,0,3,28.0,8,2,69.55,True,False,True
161,0,3,44.0,0,1,16.1,True,False,True
162,1,2,40.0,0,0,15.75,False,False,True
163,0,3,26.0,0,0,7.775,True,False,True
164,0,3,17.0,0,0,8.6625,True,False,True
165,0,3,1.0,4,1,39.6875,True,False,True
166,1,3,9.0,0,2,20.525,True,False,True
167,1,1,28.0,0,1,55.0,False,False,True
168,0,3,45.0,1,4,27.9,False,False,True
169,0,1,28.0,0,0,25.925,True,False,True
170,0,3,28.0,0,0,56.4958,True,False,True
171,0,1,61.0,0,0,33.5,True,False,True
